target,source,spillover,semantic_similarity,model
Civil rights movement,Greece,0.0,0.44154656,mistral7b
Civil rights movement,India,0.0,0.53593576,mistral7b
Civil rights movement,International Red Cross and Red Crescent Movement,0.3,0.4906378,mistral7b
Civil rights movement,Jewish culture,0.0,0.45544368,mistral7b
Civil rights movement,Native Americans in the United States,0.2,0.6418394,mistral7b
Civil rights movement,New Zealand,0.0,0.4499844,mistral7b
Civil rights movement,Republic of Ireland,0.1,0.41639575,mistral7b
Culture of Africa,Civil rights movement,0.1,0.42273745,mistral7b
Culture of Africa,Euro,0.1,0.23253474,mistral7b
Culture of Africa,Greece,0.2,0.4367134,mistral7b
Culture of Africa,India,0.1,0.55145967,mistral7b
Culture of Africa,International Red Cross and Red Crescent Movement,0.0,0.29768717,mistral7b
Culture of Africa,Jewish culture,0.2,0.51535475,mistral7b
Culture of Africa,Native Americans in the United States,0.4,0.53194535,mistral7b
Culture of Africa,New Zealand,0.1,0.41740888,mistral7b
Culture of Africa,Republic of Ireland,0.0,0.32518005,mistral7b
Euro,Civil rights movement,0.0,0.18791306,mistral7b
Euro,Culture of Africa,0.0,0.23253474,mistral7b
Euro,Greece,0.0,0.4288988,mistral7b
Euro,India,0.1,0.33258346,mistral7b
Euro,International Red Cross and Red Crescent Movement,0.0,0.29908344,mistral7b
Euro,Jewish culture,0.0,0.1903524,mistral7b
Euro,Native Americans in the United States,0.0,0.10397445,mistral7b
Euro,New Zealand,0.0,0.19908291,mistral7b
Euro,Republic of Ireland,0.2,0.43101364,mistral7b
Greece,Civil rights movement,0.0,0.44154656,mistral7b
Greece,Culture of Africa,0.2,0.4367134,mistral7b
Greece,Euro,0.5,0.4288988,mistral7b
Greece,India,0.2,0.5217618,mistral7b
Greece,International Red Cross and Red Crescent Movement,0.1,0.47623327,mistral7b
Greece,Jewish culture,0.2,0.3981577,mistral7b
Greece,Native Americans in the United States,0.0,0.38780874,mistral7b
Greece,New Zealand,0.2,0.37187487,mistral7b
Greece,Republic of Ireland,0.3,0.43327886,mistral7b
India,Civil rights movement,0.0,0.53593576,mistral7b
India,Culture of Africa,0.3,0.55145967,mistral7b
India,Euro,0.1,0.33258346,mistral7b
India,Greece,0.5,0.5217618,mistral7b
India,International Red Cross and Red Crescent Movement,0.2,0.42929327,mistral7b
India,Jewish culture,0.0,0.40959907,mistral7b
India,Native Americans in the United States,0.3,0.5852869,mistral7b
India,New Zealand,0.3,0.57900184,mistral7b
India,Republic of Ireland,0.2,0.45449746,mistral7b
International Red Cross and Red Crescent Movement,Civil rights movement,0.2,0.4906378,mistral7b
International Red Cross and Red Crescent Movement,Culture of Africa,0.0,0.29768717,mistral7b
International Red Cross and Red Crescent Movement,Euro,0.0,0.29908344,mistral7b
International Red Cross and Red Crescent Movement,Greece,0.0,0.47623327,mistral7b
International Red Cross and Red Crescent Movement,India,0.0,0.42929327,mistral7b
